kasse-width=22.88 inches, længe(50,70,80)
Focal, Afstand(inches)
50cm, 0
48, 19
32, 19
36, 19
32, 19
32, 19
32, 19
36, 19
48, 19
48, 19
162, 19
32, 19
32, 19
32, 19
32, 19
32, 19
36, 19
32, 19
36, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
36, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
32, 19
48, 19
32, 19
48, 19
32, 19
36, 19
32, 19
32, 19
32, 19
32, 19
32, 19
48, 19
32, 19

70cm, 0
29, 27
29, 27
30, 27
206, 27
131, 27
206, 27
30, 27
216, 27
206, 27
131, 27
30, 27
30, 27
50, 27
131, 27
204, 27
30, 27
30, 27
131, 27
205, 27
29, 27
30, 27
30, 27
131, 27
29, 27
50, 27
178, 27
30, 27
205, 27
30, 27
179, 27
30, 27
30, 27
29, 27
204, 27
206, 27
178, 27
50, 27
29, 27
131, 27
29, 27
132, 27
30, 27
190, 27
29, 27
107, 27
56, 27
33, 27
30, 27
30, 27
160, 27
93, 27
29, 27
91, 27
153, 27
100, 27
176, 27
131, 27
30, 27
30, 27
29, 27
106, 27
101, 27
29, 27
67, 27
29, 27
176, 27
204, 27
161, 27
29, 27
30, 27
29, 27
161, 27
107, 27
30, 27
31, 27
29, 27
30, 27
141, 27
67, 27
131, 27
29, 27
162, 27
50, 27
29, 27
131, 27
30, 27
29, 27
67, 27
29, 27
29, 27
30, 27
30, 27
30, 27
29, 27
29, 27
131, 27
118, 27
30, 27
107, 27
67, 27

80cm, 0
81, 31
55, 31
42, 31
257, 31
78, 31
79, 31
55, 31
79, 31
79, 31
78, 31
79, 31
78, 31
79, 31
81, 31
77, 31
55, 31
78, 31
78, 31
55, 31
79, 31
78, 31
49, 31
81, 31
78, 31
30, 31
81, 31
78, 31
78, 31
42, 31
79, 31
79, 31
50, 31
78, 31
55, 31
78, 31
78, 31
78, 31
79, 31
48, 31
82, 31
49, 31
78, 31
77, 31
78, 31
48, 31
261, 31
81, 31
79, 31
159, 31
317, 31